in s,C2 in V
-2.592776E-04,1.86035E+00
-2.592744E-04,1.82129E+00
-2.592712E-04,1.83105E+00
-2.592680E-04,1.83105E+00
-2.592648E-04,1.80176E+00
-2.592616E-04,1.80176E+00
-2.592584E-04,1.82129E+00
-2.592552E-04,1.84082E+00
-2.592520E-04,1.85059E+00
-2.592488E-04,1.83105E+00
-2.592456E-04,1.85059E+00
-2.592424E-04,1.81152E+00
-2.592392E-04,1.82129E+00
-2.592360E-04,1.83105E+00
-2.592328E-04,1.85059E+00
-2.592296E-04,1.85059E+00
-2.592264E-04,1.82129E+00
-2.592232E-04,1.83105E+00
-2.592200E-04,1.81152E+00
-2.592168E-04,1.79199E+00
-2.592136E-04,1.81152E+00
-2.592104E-04,1.79199E+00
-2.592072E-04,1.82129E+00
-2.592040E-04,1.79199E+00
-2.592008E-04,1.82129E+00
-2.591976E-04,1.83105E+00
-2.591944E-04,1.81152E+00
-2.591912E-04,1.84082E+00
-2.591880E-04,1.84082E+00
-2.591848E-04,1.79199E+00
-2.591816E-04,1.82129E+00
-2.591784E-04,1.83105E+00
-2.591752E-04,1.79199E+00
-2.591720E-04,1.82129E+00
-2.591688E-04,1.83105E+00
-2.591656E-04,1.81152E+00
-2.591624E-04,1.81152E+00
-2.591592E-04,1.83105E+00
-2.591560E-04,1.81152E+00
-2.591528E-04,1.82129E+00
-2.591496E-04,1.85059E+00
-2.591464E-04,1.85059E+00
-2.591432E-04,1.83105E+00
-2.591400E-04,1.81152E+00
-2.591368E-04,1.81152E+00
-2.591336E-04,1.81152E+00
-2.591304E-04,1.83105E+00
-2.591272E-04,1.83105E+00
-2.591240E-04,1.82129E+00
-2.591208E-04,1.80176E+00
-2.591176E-04,1.86035E+00
-2.591144E-04,1.83105E+00
-2.591112E-04,1.83105E+00
-2.591080E-04,1.81152E+00
-2.591048E-04,1.85059E+00
-2.591016E-04,1.84082E+00
-2.590984E-04,1.81152E+00
-2.590952E-04,1.84082E+00
-2.590920E-04,1.82129E+00
-2.590888E-04,1.79199E+00
-2.590856E-04,1.84082E+00
-2.590824E-04,1.80176E+00
-2.590792E-04,1.86035E+00
-2.590760E-04,1.83105E+00
-2.590728E-04,1.85059E+00
-2.590696E-04,1.80176E+00
-2.590664E-04,1.83105E+00
-2.590632E-04,1.79199E+00
-2.590600E-04,1.82129E+00
-2.590568E-04,1.84082E+00
-2.590536E-04,1.86035E+00
-2.590504E-04,1.86035E+00
-2.590472E-04,1.79199E+00
-2.590440E-04,1.85059E+00
-2.590408E-04,1.83105E+00
-2.590376E-04,1.83105E+00
-2.590344E-04,1.79199E+00
